BMI,3.34,35.9038,1.41,Buy
CAH,7.62,9.5380,0,Hold
LMB,1.71,11.2318,37.88,Buy
MPC,14.98,4.2280,87.71,Buy
QS,-0.87,-5.2791,8.74,Hold
MMM,9.07,9.5232,215.09,Hold
KBH,7.04,4.8421,45.49,Hold
BEEM,-0.47,-4.4458,2.98,Buy
BEN,2.62,7.2283,28.36,Hold
BCYC,-5.68,-4.5663,21.39,Buy
CTOS,0.4,15.8015,214.47,Buy
AOS,3.86,13.3911,12.76,Hold
EAT,3.8,10.3491,0,Hold
VET,2.59,1.3790,24.97,Buy
JELD,1.66,7.7318,232.54,Hold
COCO,0.8,43.2793,0.02,Buy
GH,-3.46,-8.0745,465.15,Buy
LOCO,0.87,11.4818,90.59,Hold
HMN,3.24,65.9229,45.22,Hold
TFII,8.17,12.3432,68.21,Buy
OGS,4.31,11.2683,109.25,Hold
WWD,4.82,23.5328,37.23,Hold
COST,15.52,23.4610,38.2,Buy
UTL,2.91,9.0926,130.15,Hold
ADNT,3.69,7.3173,109.8,Hold
ZETA,0.48,-11.3946,140.45,Buy
BFAM,3.46,32.2570,163.53,Hold
HST,1.01,10.4460,66.86,Buy
SMPL,1.8,16.5969,24,Buy
OXY,5.08,5.3286,70.33,Buy
ASIX,4.45,4.8778,32.31,Buy
CMP,1.32,9.7636,134.34,Buy
CRSR,0.78,33.2199,41.79,Buy
BV,0.81,8.4958,117.94,Hold
EBIX,1.38,7.5555,93.45,StrongBuy
XENE,-3.38,-10.4089,1.78,Buy
MRO,3.39,4.8112,53.34,Buy
VRNA,-0.83,-21.9349,7.48,StrongBuy
ESMT,0.39,62.5093,3.62,Buy
BHP,2.04,5.9322,49.66,StrongBuy
DSGX,1.6,30.1390,0.61,Buy
GOOD,-0.3,13.6871,214.56,Buy
SLGN,3.81,8.9522,222.46,Buy
DOCN,1.71,35.4305,0,Hold
MDWD,-1.92,-0.5721,1.94,Buy
TGH,5.16,9.6701,265.22,Buy
GOGO,0.59,13.8767,7410.87,Buy
VTRU,2.19,4.3659,90.61,Buy
CHD,3.43,20.5632,65.81,Hold
CSIQ,5.83,4.4661,93.75,Buy
SNA,18.94,10.1143,26.7,Hold
X,2.15,3.3633,40.57,Hold
PRA,0.89,15.8295,39.65,Hold
DGII,2.26,15.2296,42.95,Buy
ACRV,-3.38,-1.9844,3.08,Buy
ACHV,-1.63,-2.4126,163.2,Buy
CVX,14.25,6.3002,13.51,Buy
LFST,-0.23,-34.8262,33.47,Buy
VMW,8.19,26.7080,441.07,Hold
ALG,12.04,9.9822,42.07,Buy
UVE,1.75,9.6035,46.68,Buy
CEIX,16.65,2.6267,18.81,Buy
CASS,3,4.6232,4.18,Hold
CARG,1.23,14.6477,28.34,Buy
CTG,0.72,17.2077,17.88,Hold
CXW,0.82,7.5847,76.91,StrongBuy
HZO,4.57,5.9983,119.17,Buy
GME,-0.06,-83.1532,50.13,Sell
TNL,5.99,10.2705,0,Buy
ORIC,-2.07,-2.5680,4.16,StrongBuy
AUDC,1.01,15.2315,6.18,Buy
TPH,4.22,5.0667,50.24,Buy
PGNY,0.78,68.5870,4.17,Buy
SPLK,4.39,209.2367,0,Buy
GTLB,0.14,-33.3868,0.09,Buy
HPE,2.14,6.4152,65.33,Hold
HA,-0.26,-36.4619,927.64,Hold
RRC,3.25,3.4353,52.86,Buy
GBTG,0.23,44.9428,107.17,Buy
RPM,5.62,16.9768,141.34,Hold
ASTE,3.38,14.1083,11.38,Buy
VGR,1.33,7.1856,0,StrongBuy
FND,3.03,20.3798,89.96,Buy
IGMS,-4.5,-0.3828,16.02,Buy
LGIH,12.67,16.4052,61.17,Hold
WBA,3.83,22.5670,126.77,Hold
INTA,0.4,-45.4071,6.12,Buy
VALN,-0.21,-8.6496,74.58,Buy
IMXI,2.22,6.8705,146.88,Buy
MOH,23.3,6.9844,65.75,Buy
AVPT,0.15,-43.6292,7.22,Buy
EDIT,-2.4,-1.5311,9.3,Hold
DEA,0.17,15.7742,86.1,Hold
SBLK,3.38,5.8620,59.56,Buy
GEF,5.79,6.6347,121.13,Buy
ES,4.64,12.2260,158,Buy
BSX,2.24,26.0534,51.14,Buy
RHI,4.24,10.0292,13.43,Hold
HLF,3.49,6.5510,0,Hold
FNA,-0.3,-55.0492,22.48,Buy
CLDX,-2.98,-8.9197,1.17,Buy
LICY,-0.63,-7.3438,79.66,Buy
KD,0.23,13.5077,318.3,Hold
CNC,6.69,5.9391,82.81,Buy
ZYXI,0.55,11.9676,114.59,StrongBuy
AGX,3.41,6.4196,1.6,Buy
DLR,1.27,26.1696,98.97,Buy
STGW,0.99,8.4063,231.28,Buy
GBIO,-1.75,-0.3505,31.71,Buy
IMNM,-0.85,-1.8644,1.93,Buy
DECK,26.01,18.5128,14.46,Buy
PLCE,4.48,-68.5168,612.49,Buy
BCRX,-0.63,-16.1442,0,Buy
SIG,10.36,5.5757,57.83,Hold
BF.B,2.23,25.9330,92.15,Hold
W,-0.15,-12.7161,0,Buy
CNHI,1.8,11.7744,329.93,Buy
CPNG,0.5,47.5057,98.13,Buy
RL,10.57,8.9737,116.33,Hold
FTDR,1.9,11.2176,473.28,Hold
WERN,3.04,6.5095,44.35,Buy
HTZ,2.13,14.8662,656.64,Buy
PTGX,-2.54,-5.3700,0.83,Buy
DE,32.9,11.9501,272.27,Buy
GLSI,-0.7,-11.4128,0,Buy
CXT,4.35,10.0619,104.02,Buy
TWI,1.72,4.0793,97.5,Hold
INSW,10.41,3.6158,60.86,Buy
CRL,11.81,13.8249,93.45,Buy
BCE,2.42,8.5982,160.16,Hold
CRWD,3.49,-581.2633,42.27,Buy
CNX,2.17,1.9666,58.7,Hold
RMAX,1.52,2.7163,2037.52,Hold
USAC,0.59,10.8745,827.86,Hold
WMB,1.84,10.9733,171.78,Buy
FSS,2.83,15.8059,47.18,Buy
RSG,5.91,14.2033,122.09,Buy
BXP,2.32,14.8475,192.03,Hold
MMC,8.56,19.1960,120.52,Hold
MKSI,5.8,12.6281,205.37,Buy
LQDT,0.99,13.4481,7.3,StrongBuy
WES,3.09,9.1588,225.89,Buy
SATS,0.24,2.2661,44.76,Buy
PBPB,0.18,18.5625,2778.21,Hold
AMN,6.83,6.9114,140.01,Buy
LBTYK,-3.18,9.7040,80.89,Hold
CSGS,3.84,11.0906,125.17,StrongBuy
PHR,-0.75,-8.1363,6.4,Buy
AIR,4.24,13.5829,30.04,Buy
AG,0.41,27.3432,18.51,Buy
ALV,9.68,9.1068,75.02,Buy
ZIM,-3.29,1.9740,100.58,Sell
MKTX,8.14,21.5626,6.86,Hold
PARAA,1.32,10.8228,77.36,Hold
FYBR,-0.32,5.1769,189.6,Buy
CZR,2.13,9.9152,559.12,Buy
NTCT,2.31,10.5094,7.79,Hold
HBM,0.77,6.8795,69.75,Buy
FLS,2.4,15.6436,76.99,Buy
IRM,1.94,18.5142,2702.6,Buy
ETWO,0.26,14.0862,45.51,Hold
RPHM,-2.33,-1.5109,0.92,StrongBuy
ICHR,1.3,13.4233,57.56,Buy
APLD,1.3,-17.8328,131.76,Buy
DKL,4.07,10.3392,0,Sell
AME,6.71,19.3759,29.3,Buy
LAZR,-0.46,-4.4497,0,Buy
SSTK,4.62,8.6200,14.28,Buy
SQSP,0.6,45.4116,0,Hold
NRDS,0.21,30.4487,3.07,Buy
BYD,6.75,7.5790,215.7,Buy
RIVN,-3.31,-2.7118,27.51,Buy
RGLD,4.33,15.9111,14.27,Hold
LIVN,3.13,36.6780,50.31,Buy
MOND,-0.2,-11.5914,301.46,Buy
JKHY,5.61,21.0198,20.22,Hold
ARCT,-3.99,11.1884,11.29,Buy
PDFS,0.96,91.1399,3.03,Buy
VRSN,8.14,21.7585,0,Buy
DKNG,-0.56,-15.7197,129.62,Buy
BRY,0.84,2.3419,55.62,Hold
DSKE,0.55,6.0984,426.12,Buy
ALX,13.01,14.4663,418.83,Sell
GLNG,2.64,38.6155,46.91,Buy
NTR,5.24,5.6122,53.52,Buy
OR,0.43,14.2022,18.77,Hold
AI,0.01,-9.0901,0.43,Hold
CNTY,0.59,8.2579,268.44,Buy
STKL,0.11,13.6372,133.44,StrongBuy
HI,3.9,7.4647,85.42,Buy
ISRG,6.52,50.6063,0,Buy
RGP,1.88,4.7212,4.28,Hold
PNW,5.04,11.8505,166.24,Hold
NGVC,0.82,10.9931,226.03,StrongBuy
SJW,2.7,14.3175,139.25,Hold
LITE,4.06,17.4719,211.96,Buy
ESE,4.21,16.2985,18.99,StrongBuy
TPC,1.65,-8.4492,71.56,Buy
MORN,5.27,40.5842,109.27,Hold
TWNK,1.23,15.8066,53.71,Buy
FOUR,3.4,15.3797,369.49,Buy
CDLX,-0.16,-12.9725,111.07,Buy
WPP,0,41.0658,187.82,Hold
ACVA,-0.19,-26.4769,24.09,Buy
SHEN,-0.04,14.4656,27.61,Hold
FIVN,2.15,-164.5954,173.12,Buy
KRYS,-1,-21.9041,1.31,Buy
RXRX,-1.65,-5.2992,11.28,Hold
SMR,-0.2,-1.6683,1.67,Buy
GD,14.91,13.7298,58.96,Buy
AMWD,9,6.8722,53.06,Hold
ENOV,2.65,16.6518,13.62,Buy
USNA,3.68,7.5419,0,Hold
SGHT,-0.96,-2.7735,25.55,Hold
TSVT,-1.83,-1.0856,71.72,Buy
DNUT,0.41,23.5752,102.37,Buy
EE,1.04,6.6752,49.46,Buy
INVE,0.14,-14841.9880,8.31,Buy
MTRX,0.17,-5.5715,22.96,StrongBuy
CRDO,0.38,-95.8471,4.27,Buy
MYE,1.74,8.1483,42.21,Buy
SRE,4.78,14.7855,100.75,Buy
AEYE,-0.43,-8.8766,11.56,Buy
TCX,1.94,-85.3986,1118.19,Hold
BWMX,1.99,2.3624,457.25,Buy
ACM,4.39,14.5895,112.01,Buy
PANW,6.4,128.2752,133.32,Buy
JAMF,0.38,-39.0191,55.17,Buy
UI,10.69,19.8512,0,Hold
DAKT,0.81,8.5878,11.56,StrongBuy
KHC,2.98,9.7088,40.09,Hold
AUPH,-0.33,-12.9952,25.8,Buy
NG,-0.14,-64.8211,1484.75,Buy
MPAA,1.22,11.6487,92.86,Buy
LTRN,-2.27,-0.0052,0.65,Hold
PG,6.45,17.8581,75.27,Buy
AON,16.07,20.0562,7533.95,Hold
KWR,8.56,13.5637,68.82,Buy
ABNB,4.19,43.4988,45.94,Hold
CVGW,1.65,22.5076,46.23,Buy
SCWX,0.08,-4.1593,1.96,Hold
BWXT,3.15,21.7903,158.85,Buy
LILA,0.82,6.4545,359.71,Buy
EBF,1.41,6.0117,3.47,StrongBuy
CARR,2.85,20.7160,111.9,Buy
SNDR,2.21,5.7216,7.33,Buy
OI,3.11,5.9201,234.25,Buy
ROIC,0.32,16.0828,101.41,Buy
RGA,18.56,9.4395,61.43,Buy
OTEX,5.09,16.5936,229.88,Buy
ZWS,1.12,21.5742,38.13,Buy
FNF,5.04,9.1805,61.51,Buy
GNRC,7.39,18.3458,71.67,Buy
EXPD,5.1,11.2141,20.59,Hold
FLL,0.59,58.3709,611.27,Buy
ULTA,27.01,11.6286,91.64,Buy
PRI,17.45,12.0804,107.49,Buy
HAYW,0.74,17.8320,92.17,Buy
BLD,19.95,10.0975,74.05,Buy
PI,1.29,-389.0258,802.88,Buy
MTD,45.13,22.3838,0,Hold
KT,1.97,2.0623,60.52,Hold
ARTNA,2,15.8047,78.65,StrongBuy
IRS,-2.85,3.4471,27.06,Buy
PCOR,-0.02,-39.9151,7.18,Buy
OFC,1.15,15.3589,122.88,Buy
SPWH,0.46,13.4966,207.19,Buy
ESP,0.01,5.5321,0,Hold
WOOF,0.36,11.5193,125.74,Buy
TPL,71.54,25.2683,0.2,Buy
IAC,-0.57,1612.2267,29.89,Buy
JWN,2.02,5.4076,663.8,Hold
TNC,5.9,9.1719,56.77,Buy
OOMA,0.74,53.6555,17.82,Buy
AMH,0.52,23.0005,58.24,Buy
EA,7.71,16.4141,30.23,Buy
LPLA,18.04,9.9540,152.34,Buy
DRQ,0.89,34.6962,0.69,Hold
GPC,9.99,12.1416,104.42,Buy
MFC,2.62,1.8638,48.27,Buy
AGCO,15.03,5.6728,59,Buy
EVH,0.83,41.0781,54.96,Buy
YOU,0.49,-14.9416,28.16,Hold
HL,0.12,16.8144,29.16,Buy
CVLT,3.1,38.4668,7.18,Hold
SPR,0.62,-60.9095,0,Hold
QGEN,2.2,18.3229,53.6,Buy
EPM,1.08,3.4916,0.2,Buy
ISSC,0.55,23.3409,55.94,StrongBuy
CUBE,1.86,17.7306,105.36,Buy
NGG,4.24,56.2433,149.19,Buy
TELA,-1.55,-4.9262,104.18,Buy
MRTX,-10.01,-1.7506,6.95,Buy
TMHC,7.47,4.3533,48.73,Hold
KMT,2.01,7.8976,48.66,Hold
IRDM,0.31,21.0795,149.57,Buy
GHC,59.5,6.0203,29.93,Sell
MTX,5.99,7.6773,62.76,Buy
CNMD,4.41,27.1479,133.44,Buy
DOW,3.89,8.4124,79.5,Hold
JNPR,2.36,11.7605,40.99,Buy
ITGR,5.07,14.6896,73.54,Buy
BBWI,3.58,9.2515,0,Buy
ODFL,13.13,23.6897,2.09,Hold
DOV,9.74,13.3326,73.42,Buy
AVY,9.92,14.9624,175.94,Buy
AXGN,-0.1,-14.3085,73.69,Buy
DZSI,0.69,-2.8266,43.6,Buy
GSK,3.99,8.5244,176.61,Hold
UTZ,0.63,28.1007,74.05,Hold
URGN,-2.47,-7.4091,0,Buy
CHRS,0.22,-3.5957,0,Buy
IPI,0.19,3.5492,0.42,Sell
PPG,8.4,14.8660,99.47,Buy
TLYS,0,-822.6628,152.44,Buy
CODA,0.64,10.1461,0,Buy
FCPT,1.11,18.3120,80.99,Buy
ASML,23.63,1638.3861,42.78,Buy
CWT,2.15,17.6385,84.93,Buy
ACEL,0.83,7.7131,277.46,Buy
TWLO,2.14,-20.9176,12.14,Buy
NVST,2.09,11.5575,35.55,Buy
VCEL,0.04,-147.6172,41.92,Buy
BIG,-7.58,-11.0573,714.72,Hold
NRP,3,4.1882,31.46,Hold
CNA,4.89,8.1105,36.4,Hold
NOVA,-1.26,525.9780,321.17,Buy
BLBD,1.39,55.2663,1308.54,Buy
AMAM,-0.5,-10.9195,4.4,Buy
DHI,13.82,6.6688,27.93,Buy
ZTS,6.09,26.7258,146.66,Buy
RCUS,-3.76,-2.1663,0,Buy
ARGX,-1.93,-1677.8460,0.39,Buy
DENN,0.71,11.1393,0,Buy
CMCL,1.19,6.5010,8.98,Buy
NOTV,-1.1,11.4697,151.88,Buy
CRGY,1.68,2.3820,38.25,Hold
LNC,7.81,-0.9787,129.68,Hold
MANH,3.51,66.2406,7.3,Buy
ENV,2.71,38.9283,138.3,Buy
UTHR,20.94,7.5585,14.79,Buy
SPH,2.44,9.8176,230.63,Buy
RM,6.21,15.1637,427.7,Hold
SFL,1.24,9.0357,244.14,Buy
PTVE,0.99,4.9221,320.78,Hold
GCMG,0.73,-195.1502,0,Buy
GTLS,11.65,29.1453,156.72,Buy
NATI,2.82,22.1588,52.77,Hold
STEM,-0.43,-13.2766,117.73,Buy
FAST,2.12,19.2371,18.29,Hold
SBSW,0.55,0.4651,25.91,Buy
AVDX,0,-36.2848,23.26,Buy
PODD,2.24,100.5018,252.36,Buy
NMM,13.42,4.1098,86.84,Buy
EFX,8.83,19.9495,134.78,Buy
AAPL,6.18,22.8507,181.31,Buy
DRH,0.47,10.6711,79.94,Buy
GENC,3.09,7.1672,0.24,StrongBuy
INSM,-4.41,-6.5195,0,Buy
IFF,4.47,15.5370,64,Buy
VOXX,-0.81,-19.1171,13.55,Buy
LOW,14.54,12.4570,0,Buy
AMD,4.15,54.4482,5.19,Buy
UFPT,6.63,18.7025,27.39,StrongBuy
MSCI,14.97,33.7319,0,Buy
MGY,2.5,4.0916,21.64,Buy
AMGN,17.68,12.0661,907.6,Hold
WCN,4.82,18.3023,93.37,Buy
IIPR,5.63,11.4050,15.46,Hold
PTCT,-3.17,-13.5090,0,Buy
SHC,0.89,13.6265,555.67,Buy
MIXT,0.67,4.4895,17.48,StrongBuy
EBR,0.9,4.5695,52.67,StrongBuy
PCAR,6.88,9.0859,84.36,Hold
CEG,6.17,13.3234,62.01,Buy
LEG,1.71,10.0712,134.73,Hold
CDW,10.64,17.3894,406.21,Buy
ALNY,-2.41,-33.2858,0,Buy
B,2.57,9.5765,41.72,Buy
HLVX,-3.76,-2.9114,22.37,StrongBuy
AMT,4.83,20.1511,392.9,Buy
LMAT,1.49,29.7099,5.92,Buy
SAIC,7.65,8.5831,131.04,Hold
MO,4.84,8.5482,0,Hold
HPK,2.54,3.6649,77.58,Hold
ARVN,-7.79,-1.2671,0.97,Buy
BDC,7.66,10.6248,109.24,Buy
AVD,1.3,11.6691,50.16,Buy
SCS,0.85,7.4116,79.12,Hold
OUT,0.59,14.6417,596.87,Buy
PLD,2.8,25.4539,49.53,Buy
YPF,3.38,2.3525,73.71,Hold
BLTE,-0.56,-40.1202,0,Buy
COIN,-0.01,-10.4001,60.81,Buy
GIS,4.74,13.5787,112.75,Hold
LAW,-0.15,-5.5923,4.99,Buy
PLAB,2.25,3.3363,2.13,Buy
BOX,1.76,43.4097,0,Buy
ALLO,-2.2,-0.8961,15.77,Buy
CNXC,12.39,6.1565,91.52,Buy
HUBS,6.45,-296.8013,73.9,Buy
INVA,1.06,7.8959,80.76,Hold
RLAY,-3.5,-1.0022,6.88,Buy
MD,1.64,7.8360,79.14,Hold
CL,3.22,17.4211,2853.65,Hold
AA,3.22,22.1137,28.4,Hold
MDC,5.68,5.2033,50.94,Hold
TNYA,-1.88,-0.8073,6.9,Buy
LIN,15.29,17.8270,42.4,Buy
BXC,13.14,4.0432,97.82,Buy
EPD,2.68,10.1410,103.48,Buy
SCPL,1.14,3.4129,0.61,Hold
CLFD,1.18,5.7577,8.4,Hold
KMPR,3.94,158.4333,57.71,Buy
SHW,10.81,20.1937,339.86,Buy
TSEM,2.29,4.3318,10.95,Buy
HTGC,1.94,11.6117,100.44,Buy
MDU,1.35,6.8481,98.57,Buy
ELMD,0.6,18.2308,0.43,Buy
KAR,0.7,13.1805,112.36,Buy
HLMN,0.47,13.7444,80.1,StrongBuy
PHG,1.66,68.1200,67.57,Sell
BERY,7.95,8.2968,294.36,Buy
JNJ,10.18,12.6561,59.68,Buy
ITRN,2.58,7.0932,5.69,Buy
USAP,1.1,12.6992,42.43,Buy
UHAL,4.86,7.2314,93.63,Hold
WFG,6.24,8.9271,7.2,Buy
OPRA,0.82,18.7200,0.83,Buy
FWONK,1.1,33.1000,42.42,Buy
ADC,1.71,19.0733,43.53,Buy
VRA,0.7,16.6937,33.65,Buy
ATSG,2.05,5.0302,109.28,Buy
LRN,3.72,8.5250,57.41,Buy
BL,1.77,1037.4173,696.07,Hold
RLYB,-2.1,-0.8737,0.34,Buy
CI,28.28,10.7275,71.9,Buy
MASS,-1.12,-1.8838,3.91,StrongBuy
INDI,0.17,-9.2047,44.68,Buy
CMI,19.46,9.3841,73.61,Buy
CAMT,2.22,33.0335,46.03,Buy
MBC,1.44,6.2719,79.2,Buy
LNN,6.38,10.5459,31.26,Hold
RNGR,1.79,4.0673,11.46,Hold
NVMI,5.13,20.5440,36.74,Buy
CSX,2.03,10.3044,150.82,Buy
VRCA,-1.02,-5.3007,2.49,Buy
CVAC,-0.95,-6.2333,6.24,Buy
CORT,0.93,30.3614,0.07,Buy
LSXMK,3.24,9.3080,105.12,Buy
PTC,5.06,32.3802,74.39,Buy
MRNA,-5.09,38.7514,6.89,Buy
NSRGY,0,19.9675,161.87,StrongBuy
SPWR,0.23,67.7896,84.47,Hold
AMSWA,0.48,22.7970,0,StrongBuy
MX,-0.45,-6.4718,1.49,Buy
DEO,5.65,289.2964,186.47,Buy
EH,-0.43,-3.6110,105.6,Hold
HRT,1.33,9.3515,144.35,Buy
FRGI,0.68,17.3047,110.48,Buy
TMUS,9.92,9.7407,177.26,Buy
LAUR,1.2,7.0944,63.73,Buy
EQR,1.69,18.4125,66.97,Hold
AMPL,0.11,-12.3353,3.12,Hold
CAE,1.13,13.7995,72.45,Buy
BKR,2.02,12.0565,43.97,Buy
SWX,3.1,9.8118,156.17,Buy
VCYT,-0.35,-278.2460,1.39,Buy
NX,2.38,7.0330,29.7,StrongBuy
SIRI,0.33,10.0842,0,Hold
RDY,3.56,0.2605,5.11,Buy
BSIG,1.91,8.0596,6458.33,Hold
ATEN,0.94,16.6808,9.93,Buy
HCAT,0.16,-8.1014,64,Buy
SGRY,1.01,16.2411,87.6,Buy
KALV,-2.45,-2.4796,5.73,StrongBuy
HCKT,1.69,12.0042,75.53,Buy
HSIC,5.72,12.2222,37.59,Hold
AMKR,2.27,4.2671,34.95,Buy
AKYA,-1.2,-3.4105,105.24,Buy
CHCT,1.02,19.4733,73.65,StrongBuy
CVNA,-2.52,-23.5982,0,Hold
IPAR,5.09,17.4842,23.89,Buy
CRBU,-1.86,-2.5773,10.11,Buy
NFG,5.84,5.9560,85.91,Hold
GILD,6.77,9.2717,119.68,Buy
ALE,4.1,13.1503,53.55,Hold
LNT,3.08,14.0760,140.05,Buy
OPI,-0.43,9.1266,189.98,Hold
YUM,5.92,19.8311,0,Buy
SMTI,2.87,-43.9576,5.01,Buy
CERT,0.47,24.1895,27.8,Buy
COLM,5.32,8.5652,19.62,Hold
ORAN,1.2,5.3189,134.95,Sell
LNG,10.82,4.3725,433.64,Buy
EPAC,1.35,12.6144,69.71,Hold
TH,1.02,5.2133,78.72,StrongBuy
ACLX,-2.82,-6.5301,31.89,StrongBuy
CRNC,1.36,-48.5005,41.99,Hold
TGTX,-0.01,-8.4937,269.49,Buy
AGR,2.35,13.7853,51.46,Hold
MORF,-4.28,-13.2783,0.43,Buy
PNT,-0.87,3.5837,1.29,Buy
PETS,0.53,171.4530,1.75,Buy
ACCD,-1.41,-9.5491,69.44,Buy
GPI,40.46,6.3925,145.28,Buy
VAC,10.83,9.4910,207.67,Buy
AXL,0.8,4.8476,462.41,Hold
ALTR,1.15,665.4234,54.4,Buy
NBIX,4.8,32.2782,14.92,Buy
PTSI,2.2,4.0641,74.3,Hold
NWN,2.78,8.7802,133.52,Buy
CF,6.8,4.2815,38.08,Hold
FIZZ,1.97,19.2744,9.9,Sell
KMI,1.21,10.8503,99.59,Hold
FTI,1.09,15.3919,75.38,Buy
HVT,4.06,5.4165,70.56,StrongBuy
RVMD,-3.46,-8.3748,6.8,Buy
PCVX,-3.67,-11.5897,1.06,StrongBuy
OC,13.78,6.6676,64.42,Buy
OGN,4.59,7.7703,0,Hold
AWK,5.13,17.7677,126.41,Buy
CDNA,-0.78,-2.8849,8.98,Buy
QCOM,8.57,9.4719,74.72,Buy
CPB,3.25,9.5735,128.01,Hold
RXST,-1.44,-17.6614,14.89,Buy
PAX,1.47,13.0775,2.83,Buy
HMC,3.07,2.0601,71.12,Buy
AVTE,-2.65,-3.4176,0.6,StrongBuy
WING,2.52,45.6714,0,Hold
